,week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
227,2023-05-14,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football
228,2023-05-21,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football
229,2023-05-28,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football
230,2023-06-04,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football
231,2023-06-11,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football
232,2023-06-18,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football
233,2023-06-25,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football
234,2023-07-02,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football
235,2023-07-09,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football
236,2023-07-16,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football
237,2023-07-23,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football
238,2023-07-30,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football
239,2023-08-06,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football
240,2023-08-13,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football
241,2023-08-20,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football
242,2023-08-27,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football
243,2023-09-03,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football
244,2023-09-10,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football
245,2023-09-17,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football
246,2023-09-24,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football
247,2023-10-01,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football
248,2023-10-08,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football
249,2023-10-15,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football
250,2023-10-22,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football
251,2023-10-29,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football
252,2023-11-05,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football
253,2023-11-12,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football
254,2023-11-19,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football
255,2023-11-26,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football
256,2023-12-03,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football
257,2023-12-10,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football
258,2023-12-17,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football
259,2023-12-24,Alabama vs Michigan,Oscar nominations 2024,Jim Harbaugh,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Powerball,NFL Games Today,Jason Kelce retire,Ohio State football,"Perry, Iowa",New Year's Day,Dallas Cowboys,Nick Saban retiring,Pete Carroll,NFL playoff picture,Doc Rivers,Ecuador,Rickey Smiley,Super Bowl,Lipid,Dexter King,Penn State football
