week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Open,High,Low,Close,Volume,Close_change
2019-03-31,Oscar nominations 2024,Jim Harbaugh,NFL Games Today,Ohio State football,Adam Harrison,Jason Kelce retire,Kansas City Chiefs,Nick Saban retiring,Vince McMahon,Dallas Cowboys,Powerball,Adan Canto,Super Bowl 2024,New Year's Day,"Perry, Iowa",Alabama vs Michigan,Pete Carroll,Doc Rivers,Dexter King,Super Bowl,Rickey Smiley,Penn State football,Lipid,NFL playoff picture,Ecuador,2848.6298828125,2893.239990234375,2848.6298828125,2892.739990234375,16592010000,58.340087890625
2019-04-07,Oscar nominations 2024,Adan Canto,Adam Harrison,Ohio State football,"Perry, Iowa",Super Bowl 2024,Jim Harbaugh,Powerball,Alabama vs Michigan,Vince McMahon,NFL Games Today,Jason Kelce retire,Nick Saban retiring,New Year's Day,Dallas Cowboys,Kansas City Chiefs,NFL playoff picture,Ecuador,Rickey Smiley,Lipid,Penn State football,Doc Rivers,Dexter King,Super Bowl,Pete Carroll,2888.4599609375,2910.5400390625,2873.330078125,2907.409912109375,15877870000,14.669921875
2019-04-14,Alabama vs Michigan,Jim Harbaugh,Dallas Cowboys,"Perry, Iowa",Adan Canto,Vince McMahon,Powerball,Adam Harrison,Ohio State football,New Year's Day,Kansas City Chiefs,Jason Kelce retire,NFL Games Today,Oscar nominations 2024,Nick Saban retiring,Super Bowl 2024,Doc Rivers,Lipid,Pete Carroll,Ecuador,Super Bowl,Penn State football,Dexter King,Rickey Smiley,NFL playoff picture,2908.320068359375,2918.0,2891.89990234375,2905.030029296875,13672850000,-2.3798828125
2019-04-21,Jim Harbaugh,Kansas City Chiefs,Alabama vs Michigan,New Year's Day,Oscar nominations 2024,Powerball,Dallas Cowboys,Jason Kelce retire,"Perry, Iowa",Adan Canto,Nick Saban retiring,NFL Games Today,Vince McMahon,Ohio State football,Adam Harrison,Super Bowl 2024,NFL playoff picture,Ecuador,Dexter King,Penn State football,Lipid,Rickey Smiley,Doc Rivers,Super Bowl,Pete Carroll,2898.780029296875,2939.8798828125,2896.35009765625,2939.8798828125,16857490000,34.849853515625
2019-04-28,Adam Harrison,NFL Games Today,Jim Harbaugh,Jason Kelce retire,Ohio State football,New Year's Day,Adan Canto,Kansas City Chiefs,Powerball,Oscar nominations 2024,Alabama vs Michigan,Nick Saban retiring,"Perry, Iowa",Dallas Cowboys,Vince McMahon,Super Bowl 2024,Rickey Smiley,Dexter King,Ecuador,Pete Carroll,NFL playoff picture,Doc Rivers,Super Bowl,Penn State football,Lipid,2940.580078125,2954.1298828125,2900.5,2945.639892578125,17918950000,5.760009765625
2019-05-05,Kansas City Chiefs,Powerball,Dallas Cowboys,Ohio State football,New Year's Day,Alabama vs Michigan,Jim Harbaugh,NFL Games Today,Super Bowl 2024,Vince McMahon,Adam Harrison,Jason Kelce retire,Nick Saban retiring,"Perry, Iowa",Oscar nominations 2024,Adan Canto,Dexter King,Pete Carroll,Rickey Smiley,Penn State football,Ecuador,Lipid,NFL playoff picture,Super Bowl,Doc Rivers,2908.889892578125,2937.320068359375,2825.389892578125,2881.39990234375,17765260000,-64.239990234375
2019-05-12,Alabama vs Michigan,Kansas City Chiefs,Super Bowl 2024,Vince McMahon,Adam Harrison,New Year's Day,Oscar nominations 2024,Adan Canto,Jim Harbaugh,"Perry, Iowa",Nick Saban retiring,Jason Kelce retire,Ohio State football,Powerball,NFL Games Today,Dallas Cowboys,Lipid,Ecuador,NFL playoff picture,Doc Rivers,Penn State football,Pete Carroll,Super Bowl,Rickey Smiley,Dexter King,2840.18994140625,2892.14990234375,2801.429931640625,2859.530029296875,17050540000,-21.869873046875
2019-05-19,Adan Canto,Powerball,Ohio State football,Oscar nominations 2024,Adam Harrison,Alabama vs Michigan,"Perry, Iowa",Super Bowl 2024,Jim Harbaugh,New Year's Day,Kansas City Chiefs,Nick Saban retiring,Dallas Cowboys,NFL Games Today,Vince McMahon,Jason Kelce retire,Pete Carroll,Penn State football,NFL playoff picture,Ecuador,Rickey Smiley,Dexter King,Doc Rivers,Lipid,Super Bowl,2841.93994140625,2868.8798828125,2805.489990234375,2826.06005859375,16499350000,-33.469970703125
2019-05-26,Powerball,Jim Harbaugh,New Year's Day,Nick Saban retiring,NFL Games Today,Ohio State football,Jason Kelce retire,"Perry, Iowa",Kansas City Chiefs,Adan Canto,Alabama vs Michigan,Dallas Cowboys,Vince McMahon,Adam Harrison,Oscar nominations 2024,Super Bowl 2024,Dexter King,NFL playoff picture,Ecuador,Penn State football,Rickey Smiley,Pete Carroll,Super Bowl,Lipid,Doc Rivers,2830.030029296875,2840.510009765625,2750.52001953125,2752.06005859375,15106790000,-74.0
2019-06-02,New Year's Day,Alabama vs Michigan,"Perry, Iowa",Kansas City Chiefs,Ohio State football,Super Bowl 2024,Jim Harbaugh,Adan Canto,Jason Kelce retire,NFL Games Today,Oscar nominations 2024,Adam Harrison,Powerball,Vince McMahon,Nick Saban retiring,Dallas Cowboys,Dexter King,Ecuador,Super Bowl,Pete Carroll,Doc Rivers,Penn State football,Rickey Smiley,Lipid,NFL playoff picture,2751.530029296875,2884.969970703125,2728.81005859375,2873.340087890625,18026770000,121.280029296875
2019-06-09,Vince McMahon,Jason Kelce retire,Powerball,Ohio State football,Oscar nominations 2024,New Year's Day,"Perry, Iowa",Super Bowl 2024,Kansas City Chiefs,Adam Harrison,Dallas Cowboys,Alabama vs Michigan,Adan Canto,Jim Harbaugh,Nick Saban retiring,NFL Games Today,Super Bowl,Dexter King,NFL playoff picture,Rickey Smiley,Penn State football,Pete Carroll,Ecuador,Doc Rivers,Lipid,2885.830078125,2910.610107421875,2874.679931640625,2886.97998046875,15894210000,13.639892578125
2019-06-16,Ohio State football,"Perry, Iowa",Jason Kelce retire,Kansas City Chiefs,NFL Games Today,Powerball,Vince McMahon,Adan Canto,Alabama vs Michigan,Adam Harrison,Jim Harbaugh,Nick Saban retiring,Dallas Cowboys,New Year's Day,Oscar nominations 2024,Super Bowl 2024,Doc Rivers,Rickey Smiley,Penn State football,Ecuador,Lipid,Super Bowl,Dexter King,Pete Carroll,NFL playoff picture,2889.75,2964.14990234375,2887.300048828125,2950.4599609375,18516760000,63.47998046875
2019-06-23,Jason Kelce retire,"Perry, Iowa",Super Bowl 2024,New Year's Day,Powerball,Jim Harbaugh,Kansas City Chiefs,Vince McMahon,Adan Canto,Alabama vs Michigan,Ohio State football,Oscar nominations 2024,Nick Saban retiring,Dallas Cowboys,NFL Games Today,Adam Harrison,Rickey Smiley,Doc Rivers,Lipid,Ecuador,Dexter King,Penn State football,Pete Carroll,NFL playoff picture,Super Bowl,2951.419921875,2954.919921875,2912.989990234375,2941.760009765625,18812890000,-8.699951171875
2019-06-30,Super Bowl 2024,Kansas City Chiefs,Vince McMahon,Adam Harrison,Adan Canto,Dallas Cowboys,Powerball,"Perry, Iowa",Nick Saban retiring,NFL Games Today,Ohio State football,Alabama vs Michigan,Jason Kelce retire,Oscar nominations 2024,New Year's Day,Jim Harbaugh,Dexter King,Penn State football,NFL playoff picture,Doc Rivers,Pete Carroll,Ecuador,Lipid,Super Bowl,Rickey Smiley,2971.409912109375,2995.840087890625,2952.219970703125,2990.409912109375,11147600000,48.64990234375
2019-07-07,Dallas Cowboys,Jim Harbaugh,Super Bowl 2024,Kansas City Chiefs,Nick Saban retiring,Ohio State football,Adam Harrison,Vince McMahon,NFL Games Today,"Perry, Iowa",Alabama vs Michigan,Jason Kelce retire,New Year's Day,Powerball,Adan Canto,Oscar nominations 2024,Dexter King,NFL playoff picture,Pete Carroll,Super Bowl,Penn State football,Doc Rivers,Ecuador,Rickey Smiley,Lipid,2979.77001953125,3013.919921875,2963.43994140625,3013.77001953125,15253340000,23.360107421875
2019-07-14,Ohio State football,Alabama vs Michigan,"Perry, Iowa",Powerball,Kansas City Chiefs,Dallas Cowboys,Jim Harbaugh,Nick Saban retiring,New Year's Day,Oscar nominations 2024,Vince McMahon,Adan Canto,Super Bowl 2024,Adam Harrison,NFL Games Today,Jason Kelce retire,Rickey Smiley,Dexter King,Ecuador,NFL playoff picture,Doc Rivers,Lipid,Penn State football,Super Bowl,Pete Carroll,3017.800048828125,3017.800048828125,2973.090087890625,2976.610107421875,16014490000,-37.159912109375
2019-07-21,Jason Kelce retire,Powerball,Nick Saban retiring,Ohio State football,Oscar nominations 2024,Adan Canto,Dallas Cowboys,"Perry, Iowa",New Year's Day,Kansas City Chiefs,Alabama vs Michigan,Super Bowl 2024,Adam Harrison,Vince McMahon,NFL Games Today,Jim Harbaugh,Dexter King,Penn State football,Ecuador,Doc Rivers,Lipid,Rickey Smiley,NFL playoff picture,Super Bowl,Pete Carroll,2981.929931640625,3027.97998046875,2976.64990234375,3025.860107421875,16700450000,49.25
2019-07-28,Nick Saban retiring,Jim Harbaugh,Kansas City Chiefs,"Perry, Iowa",Adam Harrison,Super Bowl 2024,Oscar nominations 2024,Jason Kelce retire,Powerball,New Year's Day,Alabama vs Michigan,NFL Games Today,Dallas Cowboys,Vince McMahon,Adan Canto,Ohio State football,Ecuador,Penn State football,Pete Carroll,Super Bowl,Rickey Smiley,Lipid,Dexter King,Doc Rivers,NFL playoff picture,3024.469970703125,3025.610107421875,2914.110107421875,2932.050048828125,20160210000,-93.81005859375
2019-08-04,Ohio State football,NFL Games Today,Powerball,New Year's Day,Super Bowl 2024,Adam Harrison,Kansas City Chiefs,Oscar nominations 2024,Adan Canto,Jason Kelce retire,"Perry, Iowa",Jim Harbaugh,Alabama vs Michigan,Dallas Cowboys,Nick Saban retiring,Vince McMahon,Rickey Smiley,Ecuador,Lipid,Doc Rivers,Penn State football,NFL playoff picture,Dexter King,Pete Carroll,Super Bowl,2898.070068359375,2938.719970703125,2822.1201171875,2918.64990234375,20687590000,-13.400146484375
2019-08-11,Powerball,Oscar nominations 2024,Jim Harbaugh,"Perry, Iowa",New Year's Day,Ohio State football,NFL Games Today,Dallas Cowboys,Adam Harrison,Adan Canto,Vince McMahon,Super Bowl 2024,Nick Saban retiring,Jason Kelce retire,Alabama vs Michigan,Kansas City Chiefs,Penn State football,NFL playoff picture,Ecuador,Doc Rivers,Dexter King,Pete Carroll,Rickey Smiley,Lipid,Super Bowl,2907.070068359375,2943.31005859375,2825.510009765625,2888.679931640625,19076710000,-29.969970703125
2019-08-18,Nick Saban retiring,Kansas City Chiefs,"Perry, Iowa",Alabama vs Michigan,Jason Kelce retire,Adam Harrison,Oscar nominations 2024,Adan Canto,Dallas Cowboys,NFL Games Today,Powerball,Jim Harbaugh,Ohio State football,New Year's Day,Super Bowl 2024,Vince McMahon,Ecuador,Rickey Smiley,Pete Carroll,Doc Rivers,Super Bowl,Penn State football,Lipid,NFL playoff picture,Dexter King,2913.47998046875,2939.080078125,2834.969970703125,2847.110107421875,16141480000,-41.56982421875
2019-08-25,Powerball,Jason Kelce retire,Kansas City Chiefs,NFL Games Today,Jim Harbaugh,Ohio State football,Oscar nominations 2024,"Perry, Iowa",New Year's Day,Nick Saban retiring,Vince McMahon,Adan Canto,Alabama vs Michigan,Super Bowl 2024,Adam Harrison,Dallas Cowboys,Ecuador,Dexter King,Doc Rivers,Super Bowl,Rickey Smiley,Penn State football,Pete Carroll,Lipid,NFL playoff picture,2866.699951171875,2940.429931640625,2853.050048828125,2926.4599609375,15686820000,79.349853515625
2019-09-01,Oscar nominations 2024,Vince McMahon,Alabama vs Michigan,NFL Games Today,Adan Canto,Jim Harbaugh,Kansas City Chiefs,Ohio State football,Dallas Cowboys,Super Bowl 2024,Powerball,"Perry, Iowa",Adam Harrison,New Year's Day,Nick Saban retiring,Jason Kelce retire,Doc Rivers,Ecuador,Rickey Smiley,NFL playoff picture,Dexter King,Lipid,Penn State football,Super Bowl,Pete Carroll,2909.010009765625,2985.860107421875,2891.85009765625,2978.7099609375,13707670000,52.25
2019-09-08,Jason Kelce retire,Nick Saban retiring,Ohio State football,NFL Games Today,Kansas City Chiefs,Dallas Cowboys,"Perry, Iowa",Powerball,New Year's Day,Adan Canto,Super Bowl 2024,Alabama vs Michigan,Oscar nominations 2024,Vince McMahon,Jim Harbaugh,Adam Harrison,Penn State football,Rickey Smiley,Ecuador,NFL playoff picture,Super Bowl,Dexter King,Doc Rivers,Lipid,Pete Carroll,2988.429931640625,3020.739990234375,2957.010009765625,3007.389892578125,19712530000,28.679931640625
2019-09-15,"Perry, Iowa",Jason Kelce retire,Powerball,NFL Games Today,Vince McMahon,New Year's Day,Dallas Cowboys,Oscar nominations 2024,Adan Canto,Ohio State football,Super Bowl 2024,Nick Saban retiring,Adam Harrison,Alabama vs Michigan,Kansas City Chiefs,Jim Harbaugh,NFL playoff picture,Rickey Smiley,Penn State football,Lipid,Super Bowl,Dexter King,Doc Rivers,Ecuador,Pete Carroll,2996.409912109375,3021.989990234375,2978.570068359375,2992.070068359375,20787010000,-15.31982421875
2019-09-22,Vince McMahon,New Year's Day,Ohio State football,"Perry, Iowa",Adan Canto,NFL Games Today,Super Bowl 2024,Nick Saban retiring,Oscar nominations 2024,Dallas Cowboys,Powerball,Kansas City Chiefs,Jim Harbaugh,Alabama vs Michigan,Jason Kelce retire,Adam Harrison,Doc Rivers,Rickey Smiley,Pete Carroll,Ecuador,NFL playoff picture,Penn State football,Lipid,Dexter King,Super Bowl,2983.5,3007.97998046875,2945.530029296875,2961.7900390625,16722640000,-30.280029296875
2019-09-29,"Perry, Iowa",Jim Harbaugh,Kansas City Chiefs,Adam Harrison,Vince McMahon,Powerball,Alabama vs Michigan,Jason Kelce retire,Dallas Cowboys,Oscar nominations 2024,Adan Canto,New Year's Day,NFL Games Today,Ohio State football,Nick Saban retiring,Super Bowl 2024,Super Bowl,Rickey Smiley,Lipid,Ecuador,Dexter King,Penn State football,Doc Rivers,Pete Carroll,NFL playoff picture,2967.070068359375,2992.530029296875,2855.93994140625,2952.010009765625,17244790000,-9.780029296875
2019-10-06,Ohio State football,Adan Canto,NFL Games Today,Vince McMahon,New Year's Day,Nick Saban retiring,Dallas Cowboys,Super Bowl 2024,Oscar nominations 2024,Alabama vs Michigan,Kansas City Chiefs,Jason Kelce retire,Adam Harrison,Powerball,"Perry, Iowa",Jim Harbaugh,Lipid,Ecuador,NFL playoff picture,Super Bowl,Dexter King,Pete Carroll,Rickey Smiley,Doc Rivers,Penn State football,2944.22998046875,2993.280029296875,2892.659912109375,2970.27001953125,15880820000,18.260009765625
2019-10-13,New Year's Day,Alabama vs Michigan,Powerball,Vince McMahon,Oscar nominations 2024,Kansas City Chiefs,Jason Kelce retire,Ohio State football,Dallas Cowboys,Adan Canto,Jim Harbaugh,"Perry, Iowa",Nick Saban retiring,Adam Harrison,NFL Games Today,Super Bowl 2024,Super Bowl,Pete Carroll,Penn State football,Dexter King,Doc Rivers,Ecuador,NFL playoff picture,Rickey Smiley,Lipid,2965.81005859375,3008.2900390625,2962.93994140625,2986.199951171875,15507120000,15.929931640625
2019-10-20,Jason Kelce retire,Super Bowl 2024,Vince McMahon,Alabama vs Michigan,New Year's Day,Kansas City Chiefs,NFL Games Today,"Perry, Iowa",Nick Saban retiring,Jim Harbaugh,Ohio State football,Adam Harrison,Adan Canto,Powerball,Oscar nominations 2024,Dallas Cowboys,Dexter King,Rickey Smiley,Penn State football,Doc Rivers,Ecuador,Lipid,Pete Carroll,Super Bowl,NFL playoff picture,2996.47998046875,3027.389892578125,2991.2099609375,3022.550048828125,17288670000,36.35009765625
2019-10-27,Powerball,New Year's Day,Jim Harbaugh,Oscar nominations 2024,Ohio State football,Adan Canto,NFL Games Today,Kansas City Chiefs,"Perry, Iowa",Alabama vs Michigan,Dallas Cowboys,Super Bowl 2024,Adam Harrison,Vince McMahon,Nick Saban retiring,Jason Kelce retire,Doc Rivers,Penn State football,Ecuador,Dexter King,Lipid,Pete Carroll,Super Bowl,NFL playoff picture,Rickey Smiley,3032.1201171875,3066.949951171875,3023.18994140625,3066.909912109375,19004660000,44.35986328125
2019-11-03,Powerball,Oscar nominations 2024,Jim Harbaugh,Ohio State football,NFL Games Today,"Perry, Iowa",New Year's Day,Super Bowl 2024,Kansas City Chiefs,Adam Harrison,Alabama vs Michigan,Nick Saban retiring,Dallas Cowboys,Jason Kelce retire,Adan Canto,Vince McMahon,Pete Carroll,Ecuador,Super Bowl,Dexter King,Penn State football,NFL playoff picture,Rickey Smiley,Doc Rivers,Lipid,3078.9599609375,3097.77001953125,3065.889892578125,3093.080078125,20794290000,26.170166015625
2019-11-10,Vince McMahon,Ohio State football,New Year's Day,"Perry, Iowa",Dallas Cowboys,Adan Canto,Powerball,Super Bowl 2024,Oscar nominations 2024,Jason Kelce retire,Adam Harrison,Nick Saban retiring,Kansas City Chiefs,Jim Harbaugh,NFL Games Today,Alabama vs Michigan,Super Bowl,Ecuador,Dexter King,Doc Rivers,Rickey Smiley,NFL playoff picture,Penn State football,Pete Carroll,Lipid,3080.330078125,3120.4599609375,3075.820068359375,3120.4599609375,16692290000,27.3798828125
2019-11-17,Kansas City Chiefs,Jason Kelce retire,Powerball,Ohio State football,Adan Canto,New Year's Day,Oscar nominations 2024,Alabama vs Michigan,Vince McMahon,Super Bowl 2024,NFL Games Today,Jim Harbaugh,Nick Saban retiring,Dallas Cowboys,"Perry, Iowa",Adam Harrison,Dexter King,NFL playoff picture,Doc Rivers,Penn State football,Rickey Smiley,Lipid,Pete Carroll,Super Bowl,Ecuador,3117.909912109375,3127.639892578125,3091.409912109375,3110.2900390625,18074100000,-10.169921875
2019-11-24,Kansas City Chiefs,Nick Saban retiring,Ohio State football,Powerball,Alabama vs Michigan,NFL Games Today,Oscar nominations 2024,"Perry, Iowa",Adan Canto,Jim Harbaugh,Dallas Cowboys,Adam Harrison,Jason Kelce retire,New Year's Day,Super Bowl 2024,Vince McMahon,Rickey Smiley,Super Bowl,Doc Rivers,Dexter King,Penn State football,NFL playoff picture,Ecuador,Lipid,Pete Carroll,3117.43994140625,3154.260009765625,3117.43994140625,3140.97998046875,12893650000,30.68994140625
2019-12-01,"Perry, Iowa",New Year's Day,Adan Canto,Ohio State football,Jason Kelce retire,Vince McMahon,Super Bowl 2024,Powerball,Alabama vs Michigan,Adam Harrison,Dallas Cowboys,Jim Harbaugh,Kansas City Chiefs,Oscar nominations 2024,Nick Saban retiring,NFL Games Today,Ecuador,Penn State football,NFL playoff picture,Rickey Smiley,Lipid,Dexter King,Super Bowl,Pete Carroll,Doc Rivers,3143.85009765625,3150.60009765625,3070.330078125,3145.909912109375,17504100000,4.929931640625
2019-12-08,Powerball,Vince McMahon,NFL Games Today,Nick Saban retiring,New Year's Day,Alabama vs Michigan,Jim Harbaugh,"Perry, Iowa",Ohio State football,Kansas City Chiefs,Dallas Cowboys,Jason Kelce retire,Adam Harrison,Oscar nominations 2024,Super Bowl 2024,Adan Canto,Rickey Smiley,Ecuador,Doc Rivers,Lipid,Pete Carroll,Penn State football,NFL playoff picture,Dexter King,Super Bowl,3141.860107421875,3182.679931640625,3126.090087890625,3168.800048828125,17765280000,22.89013671875
2019-12-15,Nick Saban retiring,Ohio State football,Alabama vs Michigan,Vince McMahon,Powerball,Adam Harrison,NFL Games Today,Dallas Cowboys,"Perry, Iowa",Adan Canto,Jim Harbaugh,New Year's Day,Super Bowl 2024,Kansas City Chiefs,Oscar nominations 2024,Jason Kelce retire,Doc Rivers,NFL playoff picture,Super Bowl,Rickey Smiley,Ecuador,Penn State football,Lipid,Pete Carroll,Dexter King,3183.6298828125,3225.64990234375,3183.6298828125,3221.219970703125,22184930000,52.419921875
2019-12-22,Super Bowl 2024,New Year's Day,Oscar nominations 2024,Jason Kelce retire,Powerball,Ohio State football,"Perry, Iowa",Nick Saban retiring,Dallas Cowboys,Vince McMahon,Adam Harrison,Alabama vs Michigan,Jim Harbaugh,NFL Games Today,Adan Canto,Kansas City Chiefs,Penn State football,Super Bowl,Doc Rivers,Dexter King,Lipid,Rickey Smiley,Ecuador,Pete Carroll,NFL playoff picture,3226.050048828125,3247.929931640625,3220.510009765625,3240.02001953125,8954750000,18.800048828125
2019-12-29,New Year's Day,Oscar nominations 2024,Jason Kelce retire,Alabama vs Michigan,Kansas City Chiefs,Vince McMahon,"Perry, Iowa",Adan Canto,Jim Harbaugh,Nick Saban retiring,Super Bowl 2024,NFL Games Today,Ohio State football,Powerball,Dallas Cowboys,Adam Harrison,Dexter King,Super Bowl,Penn State football,Doc Rivers,NFL playoff picture,Rickey Smiley,Pete Carroll,Lipid,Ecuador,3240.090087890625,3258.139892578125,3212.030029296875,3234.85009765625,12861110000,-5.169921875
2020-01-05,Powerball,Oscar nominations 2024,Adam Harrison,Super Bowl 2024,Adan Canto,Jason Kelce retire,Vince McMahon,NFL Games Today,"Perry, Iowa",Alabama vs Michigan,Dallas Cowboys,Nick Saban retiring,Kansas City Chiefs,Ohio State football,New Year's Day,Jim Harbaugh,Ecuador,Doc Rivers,Dexter King,Super Bowl,Lipid,Pete Carroll,Penn State football,NFL playoff picture,Rickey Smiley,3217.550048828125,3282.989990234375,3214.639892578125,3265.35009765625,17721020000,30.5
