,Open,High,Low,Close,Volume,week,Close_change
25,26727.609375,26806.51953125,26465.3203125,26599.9609375,1535170000,2019-06-23,-119.169921875
26,26805.859375,26966.0,26616.2109375,26922.119140625,828950000,2019-06-30,322.158203125
27,26835.640625,27333.7890625,26665.5703125,27332.029296875,1141300000,2019-07-07,409.91015625
28,27364.689453125,27398.6796875,27068.7890625,27154.19921875,1123420000,2019-07-14,-177.830078125
29,27174.1796875,27368.810546875,27062.48046875,27192.44921875,1184550000,2019-07-21,38.25
30,27192.240234375,27281.650390625,26249.220703125,26485.009765625,1643210000,2019-07-28,-707.439453125
31,26259.23046875,26413.359375,25440.390625,26287.439453125,1607980000,2019-08-04,-197.5703125
32,26169.91015625,26426.970703125,25339.599609375,25886.009765625,1469350000,2019-08-11,-401.4296875
33,26020.060546875,26388.779296875,25507.1796875,25628.900390625,1286600000,2019-08-18,-257.109375
34,25826.05078125,26514.619140625,25637.4296875,26403.279296875,1118190000,2019-08-25,774.37890625
35,26198.259765625,26860.869140625,25978.220703125,26797.4609375,892290000,2019-09-01,394.181640625
36,26866.23046875,27306.73046875,26717.05078125,27219.51953125,1373320000,2019-09-08,422.05859375
37,27146.060546875,27272.169921875,26899.150390625,26935.0703125,1367060000,2019-09-15,-284.44921875
38,26851.44921875,27079.6796875,26704.9609375,26820.25,1190170000,2019-09-22,-114.8203125
39,26852.330078125,27046.2109375,25743.4609375,26573.720703125,1255350000,2019-09-29,-246.529296875
40,26502.330078125,27013.970703125,26139.80078125,26816.58984375,1129610000,2019-10-06,242.869140625
41,26766.4296875,27120.109375,26749.1796875,26770.19921875,1150300000,2019-10-13,-46.390625
42,26852.669921875,27015.369140625,26714.33984375,26958.060546875,1282420000,2019-10-20,187.861328125
43,27040.330078125,27347.4296875,26918.2890625,27347.359375,1336830000,2019-10-27,389.298828125
44,27402.060546875,27774.669921875,27402.060546875,27681.240234375,1277750000,2019-11-03,333.880859375
45,27580.66015625,28004.890625,27517.669921875,28004.890625,1282100000,2019-11-10,323.650390625
46,27993.220703125,28090.2109375,27675.279296875,27875.619140625,1203150000,2019-11-17,-129.271484375
47,27917.76953125,28174.970703125,27917.76953125,28051.41015625,891310000,2019-11-24,175.791015625
48,28109.740234375,28109.83984375,27325.130859375,28015.060546875,1162070000,2019-12-01,-36.349609375
49,27987.05078125,28290.73046875,27801.80078125,28135.380859375,1172160000,2019-12-08,120.3203125
50,28191.669921875,28608.640625,28191.669921875,28455.08984375,1729780000,2019-12-15,319.708984375
51,28491.779296875,28701.66015625,28491.779296875,28645.259765625,647930000,2019-12-22,190.169921875
52,28654.759765625,28872.80078125,28376.490234375,28634.880859375,866350000,2019-12-29,-10.37890625
53,28465.5,29009.0703125,28418.630859375,28823.76953125,1316300000,2020-01-05,188.888671875
54,28869.009765625,29373.619140625,28819.4296875,29348.099609375,1371470000,2020-01-12,524.330078125
55,29269.05078125,29341.2109375,28843.310546875,28989.73046875,1291150000,2020-01-19,-358.369140625
56,28542.490234375,28944.240234375,28169.529296875,28256.029296875,1700440000,2020-01-26,-733.701171875
57,28319.650390625,29408.05078125,28319.650390625,29102.509765625,1514760000,2020-02-02,846.48046875
58,28995.66015625,29568.5703125,28995.66015625,29398.080078125,1361730000,2020-02-09,295.5703125
59,29282.779296875,29409.08984375,28892.69921875,28992.41015625,1096230000,2020-02-16,-405.669921875
60,28402.9296875,28402.9296875,24681.009765625,25409.359375,3019270000,2020-02-23,-3583.05078125
61,25590.509765625,27102.33984375,25226.619140625,25864.779296875,2819020000,2020-03-01,455.419921875
62,24992.359375,25020.990234375,21154.4609375,23185.619140625,3820590000,2020-03-08,-2679.16015625
63,20917.529296875,21768.279296875,18917.4609375,19173.98046875,4087140000,2020-03-15,-4011.638671875
64,19028.359375,22595.060546875,18213.650390625,21636.779296875,3677640000,2020-03-22,2462.798828125
65,21678.220703125,22480.369140625,20735.01953125,21052.529296875,2602980000,2020-03-29,-584.25
66,21693.630859375,24008.990234375,21693.630859375,23719.369140625,2244560000,2020-04-05,2666.83984375
67,23698.9296875,24264.2109375,23095.349609375,24242.490234375,2314860000,2020-04-12,523.12109375
68,24095.099609375,24108.689453125,22941.880859375,23775.26953125,2026740000,2020-04-19,-467.220703125
69,23866.150390625,24764.76953125,23645.30078125,23723.689453125,2150930000,2020-04-26,-51.580078125
70,23581.55078125,24349.900390625,23361.16015625,24331.3203125,1808170000,2020-05-03,607.630859375
71,24256.44921875,24382.08984375,22789.619140625,23685.419921875,2146040000,2020-05-10,-645.900390625
72,24059.98046875,24718.4609375,24059.98046875,24465.16015625,1827230000,2020-05-17,779.740234375
73,24781.83984375,25758.7890625,24781.83984375,25383.109375,1741030000,2020-05-24,917.94921875
74,25342.990234375,27338.30078125,25220.66015625,27110.98046875,2004210000,2020-05-31,1727.87109375
75,27232.9296875,27580.2109375,25078.41015625,25605.5390625,2422780000,2020-06-07,-1505.44140625
76,25270.390625,26611.029296875,24843.1796875,25871.4609375,2277340000,2020-06-14,265.921875
77,25865.080078125,26314.970703125,24971.029296875,25015.55078125,2217300000,2020-06-21,-855.91015625
78,25152.44921875,26204.41015625,25096.16015625,25827.359375,1511160000,2020-06-28,811.80859375
79,25996.080078125,26297.529296875,25523.509765625,26075.30078125,1750590000,2020-07-05,247.94140625
80,26225.0703125,27071.330078125,25994.98046875,26671.94921875,1795650000,2020-07-12,596.6484375
81,26660.2890625,27035.240234375,26402.859375,26469.890625,1992630000,2020-07-19,-202.05859375
82,26447.669921875,26625.4609375,25992.279296875,26428.3203125,1949190000,2020-07-26,-41.5703125
83,26542.3203125,27456.240234375,26534.380859375,27433.48046875,1795360000,2020-08-02,1005.16015625
84,27488.2109375,28154.880859375,27488.2109375,27931.01953125,1764470000,2020-08-09,497.5390625
85,27970.05078125,27999.810546875,27526.25,27930.330078125,1551760000,2020-08-16,-0.689453125
86,28077.580078125,28733.349609375,28041.75,28653.869140625,1823450000,2020-08-23,723.5390625
87,28643.66015625,29199.349609375,27664.6796875,28133.310546875,2824960000,2020-08-30,-520.55859375
88,27925.23046875,28206.2109375,27447.080078125,27665.640625,1919630000,2020-09-06,-467.669921875
89,27718.740234375,28364.76953125,27487.970703125,27657.419921875,2347860000,2020-09-13,-8.220703125
90,27484.7109375,27484.7109375,26537.009765625,27173.9609375,2240560000,2020-09-20,-483.458984375
91,27362.140625,28041.4609375,27338.08984375,27682.810546875,1924450000,2020-09-27,508.849609375
92,27825.419921875,28676.2890625,27728.029296875,28586.900390625,1720790000,2020-10-04,904.08984375
93,28671.119140625,28957.900390625,28181.5390625,28606.310546875,2075670000,2020-10-11,19.41015625
94,28633.55078125,28711.9296875,28040.1796875,28335.5703125,1685960000,2020-10-18,-270.740234375
95,28185.8203125,28185.8203125,26143.76953125,26501.599609375,2191290000,2020-10-25,-1833.970703125
96,26691.279296875,28495.05078125,26691.279296875,28323.400390625,1895680000,2020-11-01,1821.80078125
97,29467.900390625,29933.830078125,28902.130859375,29479.810546875,2295120000,2020-11-08,1156.41015625
98,29672.359375,29964.2890625,29228.380859375,29263.48046875,1810200000,2020-11-15,-216.330078125
99,29332.8203125,30116.509765625,29332.8203125,29910.369140625,1320030000,2020-11-22,646.888671875
100,29854.509765625,30218.259765625,29463.640625,30218.259765625,2128410000,2020-11-29,307.890625
101,30233.029296875,30319.69921875,29820.83984375,30046.369140625,1776940000,2020-12-06,-171.890625
102,30123.91015625,30343.58984375,29849.150390625,30179.05078125,2261940000,2020-12-13,132.681640625
103,30159.0,30304.140625,29755.529296875,30199.869140625,1245910000,2020-12-20,20.818359375
104,30283.23046875,30637.470703125,30274.240234375,30606.48046875,1236460000,2020-12-27,406.611328125
105,30627.470703125,31193.400390625,29881.8203125,31097.970703125,2135380000,2021-01-03,491.490234375
